"region";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y";"vaccine"
"north east";1;2005;0.702;0.926;0.920454097920523;0.951323155806524;0.961979427101936;"MMR"
"north east";1;2006;0.708;0.936;0.92979494924357;0.937945923327541;0.956563165564399;"MMR"
"north east";1;2007;0.698497854077253;0.944;0.939532301637158;0.952265629425114;0.942261927246629;"MMR"
"north east";1;2008;0.700613839285714;0.931330472103004;0.94716646378531;0.960447790962293;0.957810136157337;"MMR"
"north east";1;2009;0.711726384364821;0.934151785714286;0.933920704845815;0.96591575144619;0.965608563597304;"MMR"
"north east";1;2010;0.707151185386708;0.948968512486428;0.956913435174305;0.949308755760369;0.9705420267;"MMR"
"north east";1;2011;0.72188864628821;0.942868247182277;0.968714231209462;0.970769864141622;0.953051643192488;"MMR"
"north east";1;2012;0.726354941551541;0.962518195050946;0.963253509496284;0.980776932318782;0.974967630556754;"MMR"
"north east";1;2013;0.725471027372911;0.968473255402055;0.972847168347556;0.981214504150284;0.98618668899121;"MMR"
"north east";1;2014;0.72821018651363;0.967294703163882;0.97737556561086;0.982340862422998;0.983151183970856;"MMR"
"north east";1;2015;0.731035064059339;0.970946915351506;0.976937618147448;0.982983775227543;0.986394557823129;"MMR"
"north east";1;2016;0.730796567325;0.974713418745786;0.982115677321157;0.985381272224417;0.984767393989296;"MMR"
"north east";1;2017;0.729522712425;0.9743954231;0.980322003577818;0.986794717887155;0.98772504091653;"MMR"
"north east";1;2018;0.7295284392375;0.9726969499;0.979542390049985;0.983895131086142;0.989148580968281;"MMR"
"north east";1;2019;0.73164625875;0.97270458565;0.97921881313585;0.982850945749805;0.98531211750306;"MMR"
"north east";2;2005;0;0.883453783299876;0.883453783299876;0.90493593438329;0.904605173407436;"MMR"
"north east";2;2006;0;0.895250922004811;0.895250922004811;0.905049685821741;0.90255185700888;"MMR"
"north east";2;2007;0;0.908518912926291;0.908518912926291;0.917136022282947;0.902665307935993;"MMR"
"north east";2;2008;0;0.927402377348188;0.927402377348188;0.930729267768324;0.914719714417243;"MMR"
"north east";2;2009;0;0.857125550660793;0.857125550660793;0.950075645755792;0.928277048933462;"MMR"
"north east";2;2010;0;0.883032706619663;0.883032706619663;0.878076036866359;0.947572317185292;"MMR"
"north east";2;2011;0;0.90330122090805;0.90330122090805;0.927983738163853;0.875739436619718;"MMR"
"north east";2;2012;0;0.906298513625103;0.906298513625103;0.948034641569884;0.933013595166163;"MMR"
"north east";2;2013;0;0.905137703646237;0.905137703646237;0.952259720401922;0.951432607785684;"MMR"
"north east";2;2014;0;0.908608597285068;0.908608597285068;0.953629363449692;0.953775045537341;"MMR"
"north east";2;2015;0;0.913653119092628;0.913653119092628;0.953034230312624;0.95530612244898;"MMR"
"north east";2;2016;0;0.916122526636225;0.916122526636225;0.951136902410115;0.954743721696171;"MMR"
"north east";2;2017;0;0.927365831842576;0.927365831842576;0.957682072829132;0.952990998363339;"MMR"
"north east";2;2018;0;0.925129732479841;0.925129732479841;0.963923220973783;0.961598497495826;"MMR"
"north east";2;2019;0;0.927530549876458;0.927530549876458;0.961598734785927;0.964556303549572;"MMR"
